省份,特征 1,特征 2,特征 3,特征 4,特征 5
河北,除涝面积,每亩人工成本,每亩物质与服务费用,每亩农家肥费,每亩工具材料费
山西,除涝面积,每亩钾肥折纯用量,每亩磷肥折纯用量,每亩修理维护费,每亩农膜用量
内蒙古,除涝面积,每亩磷肥折纯用量,生产设备投资额,每亩钾肥折纯用量,洪涝灾受灾面积
辽宁,每亩农膜用量,每亩磷肥折纯用量,节水灌溉类机械,除涝面积,每亩畜力费
吉林,每亩农膜用量,除涝面积,生产设备投资额,洪涝灾受灾面积,每亩种子用量
黑龙江,每亩磷肥折纯用量,农用水泵,水土流失治理面积,每亩畜力费,每亩修理维护费
江苏,每亩农膜用量,每亩畜力费,除涝面积,每亩人工成本,每亩机械作业费
安徽,每亩钾肥折纯用量,每亩畜力费,每亩排灌费,旱灾受灾面积,每亩农膜用量
山东,每亩农膜用量,除涝面积,农用水泵,每亩化肥用量,每亩复混肥折纯用量
河南,每亩农膜用量,每亩种子用量,每亩化肥用量,农业机械总动力,每亩工具材料费
湖北,每亩排灌费,节水灌溉类机械,每亩钾肥折纯用量,每亩工具材料费,每亩氮肥折纯用量
重庆,每亩排灌费,除涝面积,每亩钾肥折纯用量,每亩工具材料费,农用水泵
四川,每亩用工数量,每亩人工成本,每亩农家肥费,每亩复混肥折纯用量,水土流失治理面积
贵州,每亩排灌费,水土流失治理面积,除涝面积,每亩农膜用量,每亩机械作业费
云南,节水灌溉类机械,每亩化肥用量,每亩机械作业费,农用水泵,每亩氮肥折纯用量
陕西,每亩农膜用量,除涝面积,农用水泵,每亩钾肥折纯用量,每亩人工成本
甘肃,水土流失治理面积,每亩排灌费,每亩修理维护费,除涝面积,玉米播种面积
宁夏,每亩磷肥折纯用量,农用水泵,每亩修理维护费,节水灌溉类机械,每亩工具材料费
新疆,除涝面积,每亩工具材料费,每亩复混肥折纯用量,每亩修理维护费,每亩磷肥折纯用量
