省份,特征 6,特征 7,特征 8,特征 9,特征 10
河北,每亩农药费,每亩机械作业费,节水灌溉类机械,玉米播种面积,生产设备投资额
山西,每亩人工成本,每亩化肥用量,农用水泵,每亩农药费,每亩农家肥费
内蒙古,每亩农膜用量,每亩工具材料费,每亩排灌费,每亩物质与服务费用,每亩修理维护费
辽宁,每亩化肥用量,每亩人工成本,每亩排灌费,每亩用工数量,每亩工具材料费
吉林,旱灾受灾面积,每亩化肥用量,每亩修理维护费,每亩排灌费,每亩工具材料费
黑龙江,除涝面积,每亩农家肥费,每亩农膜用量,每亩工具材料费,每亩用工数量
江苏,节水灌溉类机械,玉米播种面积,每亩物质与服务费用,每亩排灌费,每亩农家肥费
安徽,每亩农家肥费,农用水泵,洪涝灾受灾面积,每亩复混肥折纯用量,每亩人工成本
山东,每亩人工成本,每亩物质与服务费用,每亩修理维护费,节水灌溉类机械,每亩畜力费
河南,每亩修理维护费,每亩物质与服务费用,每亩人工成本,每亩复混肥折纯用量,每亩农家肥费
湖北,农用水泵,每亩修理维护费,每亩畜力费,每亩用工数量,每亩人工成本
重庆,每亩农药费,每亩人工成本,每亩物质与服务费用,每亩机械作业费,农业机械总动力
四川,农业机械总动力,除涝面积,节水灌溉类机械,农用水泵,玉米播种面积
贵州,节水灌溉类机械,洪涝灾受灾面积,每亩农药费,每亩钾肥折纯用量,每亩氮肥折纯用量
云南,除涝面积,生产设备投资额,每亩排灌费,每亩物质与服务费用,农业机械总动力
陕西,每亩修理维护费,节水灌溉类机械,每亩复混肥折纯用量,每亩排灌费,玉米播种面积
甘肃,每亩物质与服务费用,农业机械总动力,每亩农膜用量,农用水泵,每亩复混肥折纯用量
宁夏,每亩人工成本,每亩复混肥折纯用量,每亩物质与服务费用,每亩化肥用量,每亩排灌费
新疆,每亩农膜用量,每亩用工数量,水土流失治理面积,每亩物质与服务费用,每亩化肥用量
