省份,特征 1,特征 2,特征 3,特征 4,特征 5
河北,每亩物质与服务费用,每亩修理维护费,每亩农膜用量,生产设备投资额,每亩农家肥费
山西,每亩修理维护费,每亩农药费,洪涝灾受灾面积,每亩工具材料费,每亩物质与服务费用
内蒙古,每亩复混肥折纯用量,生产设备投资额,每亩农膜用量,每亩钾肥折纯用量,每亩化肥用量
辽宁,玉米播种面积,生产设备投资额,每亩物质与服务费用,每亩农家肥费,每亩农药费
吉林,每亩物质与服务费用,玉米播种面积,每亩磷肥折纯用量,洪涝灾受灾面积,水土流失治理面积
黑龙江,每亩工具材料费,每亩物质与服务费用,每亩钾肥折纯用量,玉米播种面积,生产设备投资额
江苏,农业机械总动力,每亩畜力费,每亩排灌费,玉米播种面积,每亩化肥用量
安徽,每亩人工成本,玉米播种面积,生产设备投资额,每亩物质与服务费用,每亩农家肥费
山东,每亩机械作业费,农业机械总动力,农用水泵,每亩修理维护费,玉米播种面积
河南,每亩机械作业费,每亩化肥用量,每亩修理维护费,农业机械总动力,玉米播种面积
湖北,每亩工具材料费,洪涝灾受灾面积,每亩农家肥费,每亩畜力费,玉米播种面积
重庆,农用水泵,玉米播种面积,每亩化肥用量,每亩物质与服务费用,每亩农家肥费
四川,每亩农膜用量,每亩农家肥费,生产设备投资额,每亩物质与服务费用,每亩农药费
贵州,洪涝灾受灾面积,节水灌溉类机械,生产设备投资额,每亩机械作业费,玉米播种面积
云南,每亩机械作业费,玉米播种面积,每亩排灌费,每亩农膜用量,每亩氮肥折纯用量
陕西,每亩机械作业费,每亩物质与服务费用,每亩复混肥折纯用量,玉米播种面积,生产设备投资额
甘肃,每亩排灌费,农用水泵,每亩用工数量,每亩工具材料费,农业机械总动力
宁夏,水土流失治理面积,每亩修理维护费,每亩复混肥折纯用量,每亩农膜用量,每亩物质与服务费用
新疆,水土流失治理面积,每亩钾肥折纯用量,每亩复混肥折纯用量,玉米播种面积,每亩种子用量
