省份,特征 6,特征 7,特征 8,特征 9,特征 10
河北,每亩农药费,每亩机械作业费,每亩排灌费,每亩畜力费,每亩工具材料费
山西,玉米播种面积,每亩化肥用量,每亩农家肥费,每亩机械作业费,每亩排灌费
内蒙古,每亩物质与服务费用,每亩农家肥费,每亩农药费,每亩机械作业费,每亩排灌费
辽宁,每亩机械作业费,每亩排灌费,每亩畜力费,每亩工具材料费,每亩修理维护费
吉林,每亩人工成本,每亩钾肥折纯用量,每亩农家肥费,每亩化肥用量,每亩机械作业费
黑龙江,每亩农家肥费,每亩农药费,每亩机械作业费,每亩畜力费,每亩修理维护费
江苏,每亩物质与服务费用,每亩农家肥费,每亩农药费,每亩机械作业费,每亩工具材料费
安徽,每亩农药费,每亩机械作业费,每亩排灌费,每亩畜力费,每亩工具材料费
山东,每亩化肥用量,每亩物质与服务费用,每亩农家肥费,每亩农药费,每亩排灌费
河南,生产设备投资额,每亩物质与服务费用,每亩农家肥费,每亩农药费,每亩排灌费
湖北,每亩化肥用量,每亩物质与服务费用,每亩农药费,每亩机械作业费,每亩排灌费
重庆,每亩农药费,每亩机械作业费,每亩排灌费,每亩畜力费,每亩工具材料费
四川,每亩机械作业费,每亩畜力费,每亩工具材料费,每亩修理维护费,每亩人工成本
贵州,每亩物质与服务费用,每亩农药费,每亩畜力费,每亩工具材料费,每亩修理维护费
云南,每亩磷肥折纯用量,水土流失治理面积,每亩化肥用量,每亩物质与服务费用,每亩农家肥费
陕西,每亩农家肥费,每亩农药费,每亩排灌费,每亩工具材料费,每亩修理维护费
甘肃,每亩物质与服务费用,每亩化肥用量,洪涝灾受灾面积,每亩农药费,每亩机械作业费
宁夏,农业机械总动力,每亩种子用量,节水灌溉类机械,每亩农药费,每亩机械作业费
新疆,每亩物质与服务费用,每亩农家肥费,每亩农药费,每亩机械作业费,每亩排灌费
