省份,特征 1,特征 2,特征 3,特征 4,特征 5
河北,节水灌溉类机械,每亩物质与服务费用,每亩种子用量,每亩工具材料费,每亩复混肥折纯用量
山西,每亩修理维护费,旱灾受灾面积,每亩磷肥折纯用量,每亩种子用量,每亩畜力费
内蒙古,旱灾受灾面积,每亩钾肥折纯用量,每亩农膜用量,每亩氮肥折纯用量,每亩工具材料费
辽宁,旱灾受灾面积,生产设备投资额,每亩化肥用量,每亩工具材料费,每亩修理维护费
吉林,每亩排灌费,旱灾受灾面积,每亩人工成本,洪涝灾受灾面积,每亩化肥用量
黑龙江,旱灾受灾面积,洪涝灾受灾面积,水土流失治理面积,每亩工具材料费,每亩农家肥费
江苏,每亩物质与服务费用,除涝面积,每亩种子用量,每亩用工数量,生产设备投资额
安徽,每亩人工成本,洪涝灾受灾面积,每亩排灌费,每亩修理维护费,旱灾受灾面积
山东,每亩钾肥折纯用量,洪涝灾受灾面积,每亩氮肥折纯用量,每亩修理维护费,节水灌溉类机械
河南,每亩化肥用量,除涝面积,每亩农药费,水土流失治理面积,每亩排灌费
湖北,洪涝灾受灾面积,每亩畜力费,每亩工具材料费,生产设备投资额,每亩农家肥费
重庆,每亩用工数量,农用水泵,每亩种子用量,每亩复混肥折纯用量,每亩农药费
四川,每亩农家肥费,每亩排灌费,旱灾受灾面积,生产设备投资额,洪涝灾受灾面积
贵州,每亩农家肥费,旱灾受灾面积,洪涝灾受灾面积,每亩排灌费,每亩用工数量
云南,每亩种子用量,节水灌溉类机械,每亩用工数量,每亩机械作业费,每亩复混肥折纯用量
陕西,每亩种子用量,每亩化肥用量,节水灌溉类机械,每亩用工数量,每亩畜力费
甘肃,农业机械总动力,旱灾受灾面积,水土流失治理面积,每亩农药费,节水灌溉类机械
宁夏,每亩用工数量,水土流失治理面积,每亩复混肥折纯用量,每亩物质与服务费用,每亩机械作业费
新疆,每亩种子用量,每亩畜力费,每亩用工数量,每亩物质与服务费用,水土流失治理面积
