省份,特征 6,特征 7,特征 8,特征 9,特征 10
河北,每亩氮肥折纯用量,每亩用工数量,每亩机械作业费,每亩农家肥费,玉米播种面积
山西,每亩人工成本,每亩机械作业费,每亩化肥用量,每亩复混肥折纯用量,每亩农家肥费
内蒙古,生产设备投资额,每亩用工数量,每亩物质与服务费用,农业机械总动力,每亩农药费
辽宁,农业机械总动力,洪涝灾受灾面积,每亩人工成本,每亩农家肥费,每亩钾肥折纯用量
吉林,每亩用工数量,每亩农家肥费,每亩物质与服务费用,每亩修理维护费,每亩种子用量
黑龙江,每亩钾肥折纯用量,每亩排灌费,每亩用工数量,每亩复混肥折纯用量,每亩种子用量
江苏,每亩修理维护费,每亩排灌费,每亩化肥用量,每亩机械作业费,每亩磷肥折纯用量
安徽,每亩氮肥折纯用量,每亩农家肥费,每亩用工数量,生产设备投资额,每亩工具材料费
山东,每亩农家肥费,水土流失治理面积,每亩机械作业费,每亩物质与服务费用,生产设备投资额
河南,每亩复混肥折纯用量,每亩机械作业费,洪涝灾受灾面积,每亩种子用量,玉米播种面积
湖北,农用水泵,旱灾受灾面积,每亩农药费,农业机械总动力,每亩化肥用量
重庆,每亩磷肥折纯用量,每亩农家肥费,每亩人工成本,水土流失治理面积,农业机械总动力
四川,每亩农药费,每亩钾肥折纯用量,每亩人工成本,每亩化肥用量,每亩农膜用量
贵州,农用水泵,每亩修理维护费,每亩种子用量,每亩机械作业费,每亩畜力费
云南,每亩农药费,农用水泵,除涝面积,每亩农膜用量,玉米播种面积
陕西,每亩复混肥折纯用量,每亩机械作业费,每亩氮肥折纯用量,农用水泵,每亩修理维护费
甘肃,每亩工具材料费,每亩农家肥费,每亩修理维护费,除涝面积,每亩畜力费
宁夏,节水灌溉类机械,每亩农药费,每亩畜力费,每亩排灌费,每亩氮肥折纯用量
新疆,每亩农药费,农业机械总动力,每亩复混肥折纯用量,节水灌溉类机械,每亩排灌费
