HotelName,HotelPrice,HotelLink
北京三元桥CitiGO欢阁酒店,¥402起,/hotel/hoteldetail?hotelId=00101118&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3A235c3cd1-867f-4e17-8161-5a513a050fd5%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101118%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
秋果酒店(北京新国展首都机场店),¥292起,/hotel/hoteldetail?hotelId=30301081&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3A235c3cd1-867f-4e17-8161-5a513a050fd5%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A30301081%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
北京子美酒店,¥231起,/hotel/hoteldetail?hotelId=93284159&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3A235c3cd1-867f-4e17-8161-5a513a050fd5%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A93284159%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
北京远航国际酒店(首都机场新国展店),¥500起,/hotel/hoteldetail?hotelId=61524905&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3A235c3cd1-867f-4e17-8161-5a513a050fd5%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A61524905%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
北京雍和宫漫心酒店,¥402起,/hotel/hoteldetail?hotelId=66929784&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3A235c3cd1-867f-4e17-8161-5a513a050fd5%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A66929784%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
秋果酒店(北京三里屯国展店),¥419起,/hotel/hoteldetail?hotelId=66867833&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3A235c3cd1-867f-4e17-8161-5a513a050fd5%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A66867833%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
秋果酒店(北京西单金融街店),¥619起,/hotel/hoteldetail?hotelId=60111237&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3A235c3cd1-867f-4e17-8161-5a513a050fd5%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A60111237%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
美朋·轻奢酒店(北京朝阳站店),¥417起,/hotel/hoteldetail?hotelId=69949766&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3A235c3cd1-867f-4e17-8161-5a513a050fd5%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A69949766%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
北京西站六里桥亚朵酒店,¥450起,/hotel/hoteldetail?hotelId=70509728&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3A235c3cd1-867f-4e17-8161-5a513a050fd5%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A70509728%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
北京安贞亚朵S酒店,¥535起,/hotel/hoteldetail?hotelId=67952137&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3A235c3cd1-867f-4e17-8161-5a513a050fd5%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A67952137%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
