HotelName,HotelPrice,HotelLink
成都梵舍轻奢酒店,¥398起,/hotel/hoteldetail?hotelId=94071064&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A94071064%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
杰恩酒店(成都双流国际机场店),¥373起,/hotel/hoteldetail?hotelId=68676973&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A68676973%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
锦绣文华酒店(成都锦里武侯祠店),¥482起,/hotel/hoteldetail?hotelId=93067748&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A93067748%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
盛铂仕丹酒店(成都金融城双子塔店),¥377起,/hotel/hoteldetail?hotelId=90047796&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A90047796%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
尚锦品酒店(成都锦里店),¥430起,/hotel/hoteldetail?hotelId=32301292&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A32301292%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
成都锦城原舍酒店(锦里武侯祠店),¥552起,/hotel/hoteldetail?hotelId=61131598&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A61131598%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
成都双楠武侯大道地铁站亚朵X酒店,¥503起,/hotel/hoteldetail?hotelId=94419731&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A94419731%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
天友国际酒店(成都锦里店),¥386起,/hotel/hoteldetail?hotelId=42301233&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A42301233%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
成都安悦原舍酒店,¥484起,/hotel/hoteldetail?hotelId=90954771&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A90954771%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
Honor U玺客服务公寓(成都银泰中心店),¥560起,/hotel/hoteldetail?hotelId=93163020&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A93163020%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
成都中心世茂睿选尚品酒店(成都春熙太古里店),¥405起,/hotel/hoteldetail?hotelId=92467383&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2301%7C%2a%7CqId%3Adbc1dbbc-8f20-49a7-bb28-190af0d15ded%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A10%7C%2a%7ChId%3A92467383%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
