HotelName,HotelPrice,HotelLink
大理万和永皓海景酒店,¥357起,/hotel/hoteldetail?hotelId=93590228&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A93590228%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理洱海朗悦海景客栈,¥591起,/hotel/hoteldetail?hotelId=91282163&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A91282163%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理和意居庭院,¥414起,/hotel/hoteldetail?hotelId=92870191&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A92870191%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理古城米吉诺拉民宿,¥520起,/hotel/hoteldetail?hotelId=93948614&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A93948614%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理一宿•巷陌设计酒店,¥657起,/hotel/hoteldetail?hotelId=94407692&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A94407692%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理素说·轻奢民宿,¥345起,/hotel/hoteldetail?hotelId=92963719&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A92963719%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
慢屋·大理极目精品海景民宿,¥605起,/hotel/hoteldetail?hotelId=92166884&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A92166884%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理董里轻奢度假美宿,¥438起,/hotel/hoteldetail?hotelId=92781952&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A92781952%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
良宿·网红旅拍客栈(大理洱海店),¥584起,/hotel/hoteldetail?hotelId=91898349&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A91898349%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
岷山行者牧心酒店(大理古城南门店),¥568起,/hotel/hoteldetail?hotelId=92490486&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A92490486%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
