HotelName,HotelPrice,HotelLink
品若·STYLE(广州太古汇店),¥378起,/hotel/hoteldetail?hotelId=42001358&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A42001358%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
尔兰(广州新白云国际机场店),¥172起,/hotel/hoteldetail?hotelId=60722865&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A60722865%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
广州南沙凤凰湖木莲庄酒店,¥537起,/hotel/hoteldetail?hotelId=93410418&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A93410418%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
喜悦门酒店(广州融创文旅城店),¥263起,/hotel/hoteldetail?hotelId=92952134&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A92952134%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
城迹酒店(广州正佳太古汇石牌桥地铁站店),¥369起,/hotel/hoteldetail?hotelId=02001011&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A2001011%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
广州丛林大象酒店,¥394起,/hotel/hoteldetail?hotelId=60510510&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A60510510%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
美丽豪酒店(广州番禺店),¥470起,/hotel/hoteldetail?hotelId=92497145&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A92497145%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
悦云酒店(广州白云国际机场店),¥195起,/hotel/hoteldetail?hotelId=66007332&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A66007332%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
广州人和雅阁澳斯特酒店(白云机场店),¥278起,/hotel/hoteldetail?hotelId=32001442&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A32001442%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
慕私蔚来(广州新白云国际机场店),¥197起,/hotel/hoteldetail?hotelId=70795985&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A70795985%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
广州图南生活美学酒店,¥353起,/hotel/hoteldetail?hotelId=91776541&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A10%7C%2a%7ChId%3A91776541%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
榆漫居行政公寓(广州火车东站珠江新城店),¥308起,/hotel/hoteldetail?hotelId=68545394&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A11%7C%2a%7ChId%3A68545394%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
广州文悦丽华酒店,¥375起,/hotel/hoteldetail?hotelId=32001163&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A12%7C%2a%7ChId%3A32001163%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
广州番禺市桥亚朵酒店,¥434起,/hotel/hoteldetail?hotelId=32001508&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A13%7C%2a%7ChId%3A32001508%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
航空明珠精选(广州新白云国际机场店),¥104起,/hotel/hoteldetail?hotelId=91002221&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A14%7C%2a%7ChId%3A91002221%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
朗逸精选酒店(广州新白云国际机场店),¥139起,/hotel/hoteldetail?hotelId=60653451&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A15%7C%2a%7ChId%3A60653451%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
君尚公寓(广州南站店),¥54起,/hotel/hoteldetail?hotelId=92771412&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A16%7C%2a%7ChId%3A92771412%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
佰合国际公寓(广州北京路步行街珠江夜游店),¥243起,/hotel/hoteldetail?hotelId=92326216&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A17%7C%2a%7ChId%3A92326216%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
华泰宾馆(广州区庄地铁站店),¥318起,/hotel/hoteldetail?hotelId=90214243&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A18%7C%2a%7ChId%3A90214243%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
巢趣设计美学公寓(广州番禺万达南村万博地铁站店),¥372起,/hotel/hoteldetail?hotelId=94021156&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2001%7C%2a%7CqId%3A18f3d42e-d3e4-4394-a111-1a0c6673fac6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2001%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A19%7C%2a%7ChId%3A94021156%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
