HotelName,HotelPrice,HotelLink
蔚徕J酒店(昆明新螺蛳湾店),¥232起,/hotel/hoteldetail?hotelId=60312173&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2501%7C%2a%7CqId%3A790ec162-f990-4dbc-b08f-25b14d025e66%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2501%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A60312173%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
昆明玖合宝利酒店,¥917起,/hotel/hoteldetail?hotelId=67448939&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2501%7C%2a%7CqId%3A790ec162-f990-4dbc-b08f-25b14d025e66%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2501%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A67448939%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
喆啡酒店(昆明昆医附二院翠湖公园店),¥355起,/hotel/hoteldetail?hotelId=92385241&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2501%7C%2a%7CqId%3A790ec162-f990-4dbc-b08f-25b14d025e66%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2501%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A92385241%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
昆明徽商国际酒店(长水机场店),¥234起,/hotel/hoteldetail?hotelId=92102817&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2501%7C%2a%7CqId%3A790ec162-f990-4dbc-b08f-25b14d025e66%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2501%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A92102817%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
昆明金色酒店,¥57起,/hotel/hoteldetail?hotelId=94418561&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2501%7C%2a%7CqId%3A790ec162-f990-4dbc-b08f-25b14d025e66%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2501%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A94418561%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
昆明谷粒精品酒店(高铁南站店),¥181起,/hotel/hoteldetail?hotelId=92513779&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2501%7C%2a%7CqId%3A790ec162-f990-4dbc-b08f-25b14d025e66%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2501%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A92513779%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
昆明素彩文化艺术酒店,¥368起,/hotel/hoteldetail?hotelId=93942771&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2501%7C%2a%7CqId%3A790ec162-f990-4dbc-b08f-25b14d025e66%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2501%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A93942771%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
昆明宿说精品酒店(南屏街店),¥303起,/hotel/hoteldetail?hotelId=63824146&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2501%7C%2a%7CqId%3A790ec162-f990-4dbc-b08f-25b14d025e66%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2501%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A63824146%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
昆明齐天酒店(高铁南站大学城店),¥121起,/hotel/hoteldetail?hotelId=93655552&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2501%7C%2a%7CqId%3A790ec162-f990-4dbc-b08f-25b14d025e66%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2501%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A93655552%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
玖壹精品公寓(昆明翠湖小西门店),¥150起,/hotel/hoteldetail?hotelId=93470458&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2501%7C%2a%7CqId%3A790ec162-f990-4dbc-b08f-25b14d025e66%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2501%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A93470458%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
