HotelName,HotelPrice,HotelLink
华晶丽呈睿轩上海北外滩酒店,¥309起,/hotel/hoteldetail?hotelId=30201158&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A30201158%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
丽呈睿轩上海国际旅游度假区川沙酒店,¥283起,/hotel/hoteldetail?hotelId=10201369&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A10201369%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海徐家汇天钥桥亚朵S酒店,¥475起,/hotel/hoteldetail?hotelId=60370860&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A60370860%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海浦东金桥亚朵酒店,¥390起,/hotel/hoteldetail?hotelId=94350628&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A94350628%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海浦东张江园区张江路亚朵X酒店,¥450起,/hotel/hoteldetail?hotelId=40201057&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A40201057%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
丽呈别院·城市琪遇(上海国际旅游度假区秀沿路地铁站店),¥291起,/hotel/hoteldetail?hotelId=92427092&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A92427092%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海世博中心亚朵酒店,¥484起,/hotel/hoteldetail?hotelId=63071055&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A63071055%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
和颐酒店(上海虹桥枢纽国家会展中心店),¥255起,/hotel/hoteldetail?hotelId=50201354&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A50201354%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
上海虹桥世茂睿选尚品酒店,¥435起,/hotel/hoteldetail?hotelId=91162084&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A201%7C%2a%7CqId%3Ad857eff8-665e-4b5d-a345-07f93c09d5a2%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A201%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A91162084%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
