HotelName,HotelPrice,HotelLink
苏州相城希尔顿欢朋酒店,¥398起,/hotel/hoteldetail?hotelId=92750909&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1102%7C%2a%7CqId%3Af76e2bde-d933-4f6c-83dc-85d39399bf63%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1102%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A92750909%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
苏州大学城越溪地铁站亚朵酒店,¥348起,/hotel/hoteldetail?hotelId=64616312&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1102%7C%2a%7CqId%3Af76e2bde-d933-4f6c-83dc-85d39399bf63%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1102%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A64616312%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
娄澜精品酒店(苏州拙政园店),¥161起,/hotel/hoteldetail?hotelId=90963068&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1102%7C%2a%7CqId%3Af76e2bde-d933-4f6c-83dc-85d39399bf63%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1102%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A90963068%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
苏州观前平江美居酒店,¥430起,/hotel/hoteldetail?hotelId=63554089&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1102%7C%2a%7CqId%3Af76e2bde-d933-4f6c-83dc-85d39399bf63%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1102%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A63554089%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
苏州胥城大厦,¥349起,/hotel/hoteldetail?hotelId=01102331&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1102%7C%2a%7CqId%3Af76e2bde-d933-4f6c-83dc-85d39399bf63%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1102%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A1102331%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
苏州新区科技城壹棠服务公寓,¥541起,/hotel/hoteldetail?hotelId=64598509&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1102%7C%2a%7CqId%3Af76e2bde-d933-4f6c-83dc-85d39399bf63%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1102%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A64598509%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
苏州新区木渎大运城亚朵酒店,¥373起,/hotel/hoteldetail?hotelId=94350959&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1102%7C%2a%7CqId%3Af76e2bde-d933-4f6c-83dc-85d39399bf63%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1102%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A94350959%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
泽一居精舍(苏州观前街平江路店),¥225起,/hotel/hoteldetail?hotelId=01102200&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1102%7C%2a%7CqId%3Af76e2bde-d933-4f6c-83dc-85d39399bf63%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1102%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A1102200%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
苏州合景万怡酒店,¥489起,/hotel/hoteldetail?hotelId=93463425&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1102%7C%2a%7CqId%3Af76e2bde-d933-4f6c-83dc-85d39399bf63%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1102%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A93463425%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
苏州望亭亚朵酒店,¥356起,/hotel/hoteldetail?hotelId=64103153&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1102%7C%2a%7CqId%3Af76e2bde-d933-4f6c-83dc-85d39399bf63%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1102%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A64103153%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
