酒店名称,酒店类型,最低房价,客房数,地址,最近地铁站直线距离,最近地铁站步行至时间,最近地铁站,好评率,总评分,点评总数,设施评分,服务评分,卫生评分,位置评分,性价比评分,入住时间,退房时间,停车场,免费WIFI,餐厅,健身房,游泳池,接机服务,会议室,行李寄存,装修日期,开业日期,电话,酒店简介,酒店链接
大理万和永皓海景酒店,高档型,¥357起,33,滨海大道 | 经济开发区滨海大道012号,176米，步行约765米，预计10分钟,10分钟,距洱海公园直线176米，步行约765米，预计10分钟,93,4.5,520,4.6,4.7,4.7,4.7,4.0,14:00,12:00,1,1,1,0,0,0,0,1,null,2019年01月01日,0872-2323822,酒店座落于美丽的洱海南岸，地处繁华的大理市经开区滨海大道洱海天域流动渔村，酒店占地面积3亩，建筑面积5000平方米，是丽江永皓集团按照特色精品酒店、商务度假型酒店，酒店聘请了深圳知名设计师精心设计建筑风格独具匠心，由一栋主楼、一栋副楼构成。拥有65间洱海风情客房，180°的观海阳台，尽可饱览蓝天碧海、一望无垠的胜景。风格雅致的西餐厅，融合现代时尚简约元素，作为创造经典时尚菜品的圣地，餐厅精心营造的环境使美食家们在愉悦的氛围中享受美味的快乐和尊贵的体验，三楼设有独具一格的豪华观海休闲平台，能容纳40人的海景婚庆，冷餐会，品鉴会等，酒店四楼设有一流摄影大师设计的海景旅拍摄影区，场景优美，海景无限。,https://hotel.elong.com/hotel/hoteldetail?hotelId=93590228&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A93590228%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理洱海朗悦海景客栈,高档型,¥591起,25,洱海海东风景区 | 海东镇过罗荃半岛天镜阁往双廊方向约1500米,3.4公里，驾车约4.8公里，预计8分钟,8分钟,距罗荃半岛旅游区直线3.4公里，驾车约4.8公里，预计8分钟,97,4.9,845,4.8,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,0,1,1,1,1,2019年03月01日,2017年01月01日,13577287073,客栈位于洱海海东风景区，左右5公里的距离有天镜阁和挖色小普陀两个景点，再往前就是著名的双廊风景区，得天独厚的地理位置和浑然天成的优美景色，让这里成为了网红旅拍圣地，「奔跑吧」拍摄地还取景于这。朗悦与洱海只有一路之隔，美式与轻地中海完美融合， U型的楼层设计，让每一个房间景色都好；二楼是露天泳池与网红透明玻璃球结合的观景露台，一楼公区设有餐厅、茶室、巨幕投影、麻将室，门前是200㎡的私家花园、儿童乐园等娱乐设施；客栈配有专用电梯、中央空调、房间内所有床品均是高级定制，采用世界名牌TOTO的卫浴系列。酒店全力为客人提供优质的入住体验，全天24小时管家服务，及时响应要求；大厅全天不限量免费提供应季水果、当地特色糕点、咖啡、酸奶、饮 料；每天晚上赠送晚安甜品；从早到晚，都体贴入微。选择朗悦，住进风景里,https://hotel.elong.com/hotel/hoteldetail?hotelId=91282163&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A91282163%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理和意居庭院,高档型,¥414起,11,大理古城 | 大理古城人民路下段,849米，步行约969米，预计13分钟,13分钟,距洋人街直线849米，步行约969米，预计13分钟,98,4.9,181,4.9,5.0,4.9,5.0,4.0,14:00,12:00,1,1,1,0,0,1,0,1,2018年05月01日,2018年01月01日,18008728686,和意居度假庭院位于大理古城最繁华的人民路，却在闹中取静的理想位置。出门几步路就是热闹的人民路，有丰富又特色的当地美食、吃喝玩乐购物、逛古城都十分便利，交通出行也非常方便。为了让每一位尊贵的顾客像回到家一样温馨而舒适，客栈前院所有房间的高端配套：慕思床垫，希腊Cocomat天然乳胶枕头、希腊Cocomat床上用品，TOTO智能整体卫浴，让客人拥有高端酒店最舒适的享受。庭院邀请了独立品牌的设计师，采用新中式的风格精心打造了共十一间客房的一个温馨的度假庭院。客栈分前后两个院落，前院四个房间，于2018年开业。后院七个房间，于2021年开业。所有房间均配备私人定制家私，TOTO智能卫浴，高端床垫，小米智能电视和小米空调。后院所有客房的电视和空调均采用智能化语音服务系统。期望每一位住客都有很好的体验。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92870191&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A92870191%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理古城米吉诺拉民宿,高档型,¥520起,20,大理古城 | 大理镇一塔路76号,866米，步行约1.1公里，预计15分钟,15分钟,距洋人街直线866米，步行约1.1公里，预计15分钟,99,5.0,446,4.9,5.0,5.0,4.9,4.0,14:00,12:00,1,1,0,0,0,1,0,1,null,2019年03月01日,18183723901,大理古城米吉诺拉民宿位于大理古城南门一塔路，离古城正门南门约200米，离古城游客中心约150米，地理位置相当优越，交通便利。民宿距离苍山洱海，三塔等景点都有便利的交通，附近有餐馆、药店、超市等。客房整洁宽敞明亮，配套设施一应俱全，青春简约风格，所有陈设都是老板亲自选购。老板是当地白族人，热情好客。闹中取静的米吉诺拉欢迎五湖四海的宾朋相聚于此。,https://hotel.elong.com/hotel/hoteldetail?hotelId=93948614&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A93948614%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理一宿•巷陌设计酒店,高档型,¥657起,24,大理古城 | 大理镇叶榆路173号,1.5公里，驾车约2.5公里，预计7分钟,7分钟,距大理农林职业技术学院直线1.5公里，驾车约2.5公里，预计7分钟,96,4.9,765,4.8,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,0,0,1,0,1,null,2020年01月01日,15368989213,酒店坚持“卫生第一，服务至上”，本着一切为入住客人考虑的原则，努力为您打造一个尽善尽美的假期。欢迎您入住！位于繁华的大理古城中心，却又在静雅的小巷中。酒店一共由3个紧邻的、同在一个小巷内的白族小院构成。乘车可直达酒店巷口，巷口为遍布各种餐饮(白族菜、白族石板烧、菌汤锅、火锅等)的叶榆路，小巷对面有古城大型的大昌盛超市。酒店距离洋人街仅有两百米，人民路三百米。酒店所有以“私享”开头的房型在一个院子，为北欧与现代风格结合，此院内所有房间都有投影仪，给您带来躺在床上观看大荧幕的效果。部分房型有浴缸、观星空天窗或露台。所有以“前院”开头的房型在一个院子，其余的房型在另一个小院“巷陌院”，这两个院子为日式与新中式混合风格，由木结构的白族老房，加上现代工艺改建而成，小院内充满新中式的高雅、幽静、禅意气息，房内均为实木家具，也有可观望星空的房间。酒店内的每间客房都有24小时空调、热水，房内床垫为美国舒达乳胶床垫，沐浴用品为日本进口资生堂产品，并为客人提供了云南特色普洱茶及滇红茶。酒店内有特色的大玻璃天窗星空房，晚上可以躺在房内浪漫的数星星，并为新婚夫妇提供蜜月装扮服务，伴您度过一个欣喜的特色蜜月。欢迎您来到本酒店！,https://hotel.elong.com/hotel/hoteldetail?hotelId=94407692&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A94407692%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理素说·轻奢民宿,高档型,¥345起,26,大理古城 | 古城水碓村219号,381米，步行约717米，预计10分钟,10分钟,距大理农林职业技术学院直线381米，步行约717米，预计10分钟,98,4.9,1181,4.9,4.9,4.9,4.9,4.0,14:00,12:00,1,1,0,1,0,1,1,1,2019年10月01日,2018年02月01日,15393948949,大理素说·轻奢民宿位于世界历史文化名城-大理古城水碓村，背靠苍山、面朝洱海，距古城墙百米之遥。由名师精心设计打造而成，依山而建，移步换景。客房布置简约而不失奢华，有家的温馨与惬意。坐在静静的院子里晒着太阳、聊着天，一半儿清茶一半儿酒，真正让您感受远看洱海耳听风，是谁停留又远走。一阵花雨迟疑后，纷纷落满点苍山。生活有诗和远方，素说将见证您欢笑的时光，并陪着您一路欢歌前行！,https://hotel.elong.com/hotel/hoteldetail?hotelId=92963719&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A92963719%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
慢屋·大理极目精品海景民宿,高档型,¥605起,23,洱海海东风景区 | 海东镇文笔村4社44号,4.4公里，驾车约42.3公里，预计72分钟,72分钟,距才村风景区直线4.4公里，驾车约42.3公里，预计72分钟,96,4.8,498,4.8,4.9,4.8,4.8,4.0,14:00,12:30,1,1,0,0,1,1,0,1,2019年01月01日,2017年01月01日,0872-2533888,慢屋·大理极目精品海景民宿位于大理市海东镇文笔村，这里是整个洱海环线上可以饱览“苍洱全景”的上佳位置。酒店紧邻环海东路依山而建，错落层叠的露台、水池、花园专为您舒适的赏景而预备。在这里除了万顷洱海的碧波闪耀，更有如屏苍山的变幻云景；著名的“玉带云”、“望夫云”和“大理耶稣光”几乎每天都会在这幅全景画中上演。可谓：湖山一色，尽收眼底；坐看云起，磅礴大气。慢屋·大理极目精品海景民宿拥有二十余间客房，多种房型，更有特色小院供您选择；同时设有餐吧、包房、棋牌室；独立的书屋茶室可供小型会议使用；全景平台和无边泳池是聚会的上佳场所；儿童游戏区和自助洗衣房能为家庭提供更多的便利。如果您喜欢洱海日出的朝霞满天，海西的慢屋.揽清定是不二之选；倘若您衷情苍山日落的光芒万丈，酒店在海东的慢屋.极目恭迎驾临。 ,https://hotel.elong.com/hotel/hoteldetail?hotelId=92166884&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A92166884%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
大理董里轻奢度假美宿,高档型,¥438起,16,大理古城 | 大理古城东门月溪村288号,998米，步行约1.2公里，预计19分钟,19分钟,距大理古城客运站(公交站)直线998米，步行约1.2公里，预计19分钟,99,5.0,544,5.0,5.0,5.0,4.9,4.0,14:00,12:00,1,1,0,0,0,1,0,1,null,2020年01月01日,18487521197,大理董里客栈 位于大理古城月溪村，靠近古城洱海门，交通便利，闹中取静，建筑外观采用现代中式风格设计，清新淡雅。面朝苍山，背靠洱海。大理古城和大理崇圣寺三塔均在酒店附近，距洋人街人民路步行约5-10分钟，客栈闹中取静，周围超市，餐厅一应俱全。客栈拥有布置简约而不失奢华的客房，房内配有空调和液晶电视机，让您感受到更加贴心细致的入住体验。服务人员会提前为您准备好电热水壶和瓶装水以及茶具，以满足您的饮水喝茶等需求。倘若您在忙碌的一天后想在自己的客房内放松，提供拖鞋、24小时热水和吹风机的客房浴室是不错的选择。客栈有停车位及靠近多个停车场；一楼优雅诗意的庭院，还有专门的茶室可以喝茶聊天，院子里的桂花香气宜人，鱼儿游动，有种梨花院落溶溶月，柳絮池塘淡淡风的意境；休闲区提供了各类设施，您可以在这里舒缓身心压力；工作人员可根据旅客需要安排接机服务（详情请咨询商家）。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92781952&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A92781952%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
良宿·网红旅拍客栈(大理洱海店),高档型,¥584起,32,洱海挖色小普陀风景区 | 挖色镇挖色村8组504号,392米，步行约672米，预计10分钟,10分钟,距挖色镇人民政府直线392米，步行约672米，预计10分钟,98,4.9,3304,4.8,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,0,0,1,0,1,2018年08月01日,2016年08月01日,0872-2466667,客栈位于洱海东岸挖色镇，客栈距离双廊古镇约15公里，距离小普陀约1.5公里，距离天镜阁（罗荃半岛）约15公里，距离大理古城约66公里，距离喜洲古镇约42公里，去大部分的景点游玩都方便；客栈就有出租电单车服务，可以骑电单车前往附近的双廊古镇、小普陀、天镜阁游玩，去大理古城、喜洲古镇，客栈也可以帮忙联系靠谱的包车或您租车自驾游玩（详情请咨询商家）。另外，针对住店客人，客栈提供免费天空之镜、漂浮早餐、网红玻璃球、漂浮浴缸、花海庭院的拍摄。客栈还有私家观景餐厅，提供特色大理风味美食！,https://hotel.elong.com/hotel/hoteldetail?hotelId=91898349&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A91898349%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
岷山行者牧心酒店(大理古城南门店),高档型,¥568起,41,大理古城 | 大理镇白鹤溪环路鹤谐苑6栋13号,1.1公里，驾车约1.7公里，预计5分钟,5分钟,距大理古城直线1.1公里，驾车约1.7公里，预计5分钟,97,4.8,253,4.7,4.8,4.8,4.8,4.0,14:00,12:00,1,1,1,1,0,1,1,1,null,2019年05月01日,0872-3098000,岷山行者牧心酒店(大理古城南门店）位于大理镇白鹤溪环路鹤谐苑，靠近大理古城南门，交通便利，背靠苍山，面朝洱海，为古大理国皇家的御花园所在地，酒店毗邻大理白族传统建筑艺术博览园，大理古城，是眺望苍山云霞、洱海风情的上佳位置，距离洱海、崇圣寺三塔、苍山大索道、天龙八部影视城等着名景区约10多分钟车程。酒店24小时热水供应，房间内配有中央空调、免费wifi、电吹风等，酒店有餐厅、会议室。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92490486&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A2505%7C%2a%7CqId%3A1360fc96-497e-447a-b301-d34fa715bdb6%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A2505%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A92490486%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
