酒店名称,酒店类型,最低房价,客房数,地址,最近地铁站直线距离,最近地铁站步行至时间,最近地铁站,好评率,总评分,点评总数,设施评分,服务评分,卫生评分,位置评分,性价比评分,入住时间,退房时间,停车场,免费WIFI,餐厅,健身房,游泳池,接机服务,会议室,行李寄存,装修日期,开业日期,电话,酒店简介,酒店链接
厦门美仑皓晖酒店,高档型,¥245起,176,中山路地区 | 禾祥西路80号,1.0公里，驾车约2.3公里，预计7分钟,7分钟,距中山公园地铁站直线1.0公里，驾车约2.3公里，预计7分钟,88,4.6,2754,4.4,4.5,4.5,4.5,4.0,14:00,12:00,1,1,1,0,0,0,0,1,2019年01月01日,null,0592-2220888,厦门美仑皓晖酒店位于思明区中山路商圈，毗邻白鹭洲风景区，驱车10分钟左右可到达鼓浪屿厦鼓码头、厦门大学、南普陀及植物园，周边有百脑汇、电子城、禹州广场、民生银行大厦、金源大厦、天虹商场等。周边环境配套设施齐全，斗西路美食一条街，各色美食排档，应有尽有，是您商务出行及休闲度假的理想之选。   酒店以“当代艺术特色”为主题，随处可见中国瓷娃娃及个性壁画，拥有近180间客房，配有大堂书吧、自助洗衣吧、自助早餐厅、免费停车位多个。客房内符合人体工学的高端床垫、高速WiFi全面覆盖、全套品牌洗护用品，及丰富多样的自助早餐。全力为每位宾客打造高品质、温馨舒适的商务休闲之旅。,https://hotel.elong.com/hotel/hoteldetail?hotelId=31401025&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A98f5b9cf-57ea-40f0-89fa-0fc77ce13320%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A31401025%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
鼓浪屿南瓜楼别墅酒店,高档型,¥639起,23,鼓浪屿地区 | 泉州路72号,97米，步行约97米，预计1分钟,1分钟,距厦门市鼓浪屿风景名胜区直线97米，步行约97米，预计1分钟,87,4.8,315,4.8,4.9,4.8,4.8,4.0,14:00,12:00,1,1,1,0,0,0,0,1,2020年11月01日,2011年12月01日,0592-2967890,酒店座落于美丽的钢琴之岛鼓浪屿，是一栋中西合璧的老别墅建筑。石门上雕刻了三个精美的南瓜石，石门上篆刻了“版筑传芳”四字，代表着吉祥、安定。三层楼建筑清一色淡墨条纹的清水砖规规矩矩的以它独有的方式拼砌而成。红砖，庭院，斑驳着岁月痕迹的大理石条，一切的一切在无声中叙说着关于这栋老别墅的故事，老鼓浪屿的人们用最简单的字眼给了它最文艺的命名。,https://hotel.elong.com/hotel/hoteldetail?hotelId=01401513&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A98f5b9cf-57ea-40f0-89fa-0fc77ce13320%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A1401513%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门骏豪会酒店,高档型,¥536起,12,SM城市广场地区 | 仙岳路625号,240米，步行约240米，预计4分钟,4分钟,距乌石浦地铁站直线240米，步行约240米，预计4分钟,91,4.6,402,4.6,4.7,4.7,4.7,4.0,00:00,12:00,1,1,1,0,1,0,0,1,null,2012年01月01日,0592-5951510,酒店位于仙岳路，与SM购物广场二期一墙之隔，乌石浦地铁站约2分钟步行，是巴厘岛建筑园林景观与现代艺术品相结合的时尚度假酒店。在JUN精品客房，落地窗外原生态的东南亚景观一览无余。这里还是国内一家引进星空投射仪的酒店，让人体验浩瀚星空。客房有德国进口贝朗浴缸、法国AIGNER BLACK洗护、BOSS音响、NESPRESSO咖啡机。酒店是港台明星的聚集地。不仅可吃到蔡家饭堂的海鲜大餐、喜之秋养生铁板烧、香辣会的川菜、鱼真居酒屋的日式美食。还可以还吃到备受明星热捧的台湾美食，职人寿司、日式火锅橘色涮涮屋、“世界上好吃的烧肉”的橘焱胡同烧肉夜食、美国CNN评选全球50大必吃美食的美式越南河粉（洛城越南河粉）、春娇怀旧台湾料理；喝到咖啡大师林东源的手冲咖啡豆口咖啡，来自新加坡自然发酵的手作面包面包公爵，夜晚可到“猴子酒吧”邂逅明星。酒店还有“中国一家创办旅游蜜月婚纱照”的巴黎风情婚纱摄影，由亚太人像摄影师龙sir亲领业界精英团队，是婚纱旅行与蜜月旅行之选。,https://hotel.elong.com/hotel/hoteldetail?hotelId=51401056&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A98f5b9cf-57ea-40f0-89fa-0fc77ce13320%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A51401056%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
外岛城市酒店(厦门机场成功大道店),高档型,¥376起,136,SM城市广场地区 | 园山南路902-906号4-8层,305米，步行约392米，预计5分钟,5分钟,距枋湖客运中心直线305米，步行约392米，预计5分钟,91,4.8,2179,4.7,4.7,4.8,4.8,4.0,14:00,12:00,1,1,0,1,0,0,0,1,null,2018年02月01日,0592-5538880,外岛城市酒店(厦门机场成功大道店)位于园山南路，邻近SM购物中心、万达购物广场，酒店周边有多条公交路线，交通便利。酒店客房系国外著名设计师设计，客房音响系统支持蓝牙、Iphone，Ipad和笔记本，并且可与电视直接相连；房间全部可无线上网，配备液晶电视、电动窗帘等。客房隔音系统由清华声学所设计，保证您一夜安静睡眠。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92969967&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A98f5b9cf-57ea-40f0-89fa-0fc77ce13320%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A92969967%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门Jishare佶舍宅院,高档型,¥450起,9,集美学村/杏林湾/园博苑 | 盛光路332号,1.0公里，驾车约2.0公里，预计6分钟,6分钟,距集美大学直线1.0公里，驾车约2.0公里，预计6分钟,97,5.0,322,4.9,5.0,5.0,5.0,4.0,14:00,12:00,1,1,1,0,0,0,1,1,null,2019年12月01日,0592-6150887,佶舍Jishare是一个集住宿、咖啡、良品于一体的生活方式品牌，以“比简约更考究，比奢侈更自由”为宗旨，传递高品质、有温度、纯粹专注的生活主张。    经过三年的精心筹备，主理人睡遍京都、伦敦、墨尔本、北京、上海、莫干山、云南各大知名民宿、酒店，选出称心的用品和器物，与您一同分享。在佶舍，拥有家的干净和温馨并不困难，灯光的亮度、床垫的柔软度、床品的舒适度、花洒的出水量、每一样都被精心考虑，这里是我理想中家的样子，也希望您能在这一方空间中“偷得浮生半日闲”。    佶舍Jishare设有杜拉维特Duravit卫浴、北欧表情Norhob与United Strangers联名家具、日本Karimoku/Dulton/Muji经典家具、失物招领/凡屋/造作家具、斯迈格Smeg/德龙Delonghi电器、马歇尔Marshall/B&O音箱、希尔顿同级60支贡缎床品等。每个空间都值得被好好对待，你们更是。    此外佶舍Jishare更是一个开放的交流空间，拟不定期举行小型交流、分享会。山川湖海，一茶一味，期待好看又有趣的灵魂在佶舍相遇，亦期望这样的温暖，成为你混沌生活里，细密雪亮的光。,https://hotel.elong.com/hotel/hoteldetail?hotelId=60823457&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A98f5b9cf-57ea-40f0-89fa-0fc77ce13320%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A60823457%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
怡程酒店(厦门中山路店),高档型,¥402起,113,中山路地区 | 厦禾路139号，思北路口，近中山路鼓浪屿,708米，步行约998米，预计13分钟,13分钟,距中山路步行街直线708米，步行约998米，预计13分钟,92,4.9,2597,4.8,4.8,4.8,4.8,4.0,14:00,12:00,1,1,1,0,0,0,0,1,null,2018年07月01日,0592-8561999,怡程酒店(厦门中山路店)位于中山路商业圈中心，饱览鼓浪屿秀丽美景；地理位置得天独厚，驱车约5分钟可至东渡邮轮码头鼓浪屿游客专用渡口，10分钟左右到南普陀寺庙、厦门大学等厦门知名景区。作为东呈集团旗下的高端精品酒店，店内有各类精美客房百余间；设计理念是“以东方文化内涵为核芯，以西方呈现模式为形态”呈现在消费者的眼前，“东方芯，西方形”， 简短六字对怡程酒店的灵魂做出了非常精炼的诠释。 怡程精心打造了具有东方元素的怡茶，芬芳而甘醇 ；可以延伸成大中型餐饮的餐厅及会议室，百变而灵动；三道茶（欢迎茶，下午茶，晚安茶），三呵护（有情路早，重唤新颜，朝夕约跑），体贴入微的服务，彰显出国际化的待客之道。 儒雅、质朴、亲切、庄重、自信、热情、专业、细节，这就是怡程。怡程酒店的到来，就是要让消费者身在怡程酒店环境中，去感受世界，让世界来宾“苏醒，在东方的美学里”。,https://hotel.elong.com/hotel/hoteldetail?hotelId=93378631&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A98f5b9cf-57ea-40f0-89fa-0fc77ce13320%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A93378631%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门棠下花酒店,经济型,¥142起,62,厦门南洋职业学院 | 翔安东路2871号,2.9公里，驾车约4.3公里，预计12分钟,12分钟,距浦边地铁站直线2.9公里，驾车约4.3公里，预计12分钟,95,5.0,887,5.0,5.0,5.0,5.0,0.0,14:00,12:00,1,1,1,1,0,1,1,1,null,2021年09月01日,18050091666,不论是商务还是休闲旅客，厦门棠下花酒店都能让您的厦门之行变得更加美好而难忘。酒店提供的休闲设施，旨在为旅客营造多姿多彩、奢华完美的住宿体验。,https://hotel.elong.com/hotel/hoteldetail?hotelId=94422908&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A98f5b9cf-57ea-40f0-89fa-0fc77ce13320%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A94422908%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
Amoy临海别墅,经济型,¥265起,35,厦门大学地区 | 曾厝垵西边社158之3号,238米，步行约423米，预计6分钟,6分钟,距厦门大学海韵校区直线238米，步行约423米，预计6分钟,92,5.0,760,5.0,5.0,5.0,5.0,0.0,14:00,12:00,1,1,0,0,0,1,0,1,null,2021年11月01日,18950148381,坐落于厦门大学地区的Amoy临海别墅，会让您在厦门拥有别样的体验，开展一段难忘的旅行。优美的环境，再搭配上细致周到的服务，酒店的休闲区定能满足您的品质需求。,https://hotel.elong.com/hotel/hoteldetail?hotelId=94429698&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A98f5b9cf-57ea-40f0-89fa-0fc77ce13320%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A94429698%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门青川·一席海景美宿,经济型,¥273起,35,曾厝垵地区 | 曾厝垵205号之一,124米，步行约182米，预计2分钟,2分钟,距曾厝垵直线124米，步行约182米，预计2分钟,80,5.0,2323,5.0,5.0,5.0,5.0,4.0,14:00,12:30,1,1,0,0,0,1,0,1,2019年04月01日,2018年12月01日,18106967931,厦门青汐·一席海景美宿位于曾厝垵，周边景点：会展中心、环岛路、椰风寨、台湾民俗村、音乐广场、胡里山炮台、厦大白城沙滩、沙坡尾、厦门大学，南普陀寺、中山路等厦门知名景点。便利交通：步行约5分钟至曾厝垵公交车站，出行便利。“一席”取名虽包含创始人的姓氏，但更多ThePrimoSpaceHotel中的”Primo”，不是数字一，是针对每一个住客的一种体验；”Space”指的是空间，但是不同于“Place”或“Room”，除了实际的空间感受，更增加了一种心境，一种放空泄压的情绪。让每一个住客在“一席”都有远离城市喧嚣，隐与世的感觉。 不同韵味的客房让人眼前一亮，视觉效果突出，室内格局简约典雅，艺术气息浓郁，为您提供独特的旅途享受。感受热闹曾厝垵中一缕静谧。 客栈房间的设计摆放都是掌柜精心挑选，房内有高清液晶互联网电视，也有时尚的投影播放、冷暖空调、高档床品，覆盖无线20M宽带。不同韵味的客房让人眼前一亮，视觉效果突出，室内格局简约典雅，艺术气息浓郁，为您提供特特旅途享受。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92849375&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A98f5b9cf-57ea-40f0-89fa-0fc77ce13320%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A92849375%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
厦门朴易居酒店,经济型,¥57起,40,厦门火车站地区 | 西林路2-12号201,2.0公里，驾车约3.4公里，预计16分钟,16分钟,距莲花路口地铁站直线2.0公里，驾车约3.4公里，预计16分钟,86,4.5,421,4.5,4.6,4.6,4.6,4.0,09:00,12:00,1,1,0,0,0,0,0,1,2020年05月01日,2019年05月01日,0592-2029299,酒店是一家有丰富家文化的人文社区酒店，位于海滨城市厦门市会展中心与火车站之间的市中心，周边社区林立，交通、吃、购物、出行方便，毗邻火车站商贸城、莲坂商圈、瑞景嘉州商业广场、国际会展中心区和环岛路，快速公交BRT卧龙晓城站就在门口，交通极便利，到火车站，北站，机场，轮渡，鼓浪屿码头，集美大学，海沧，同安，翔安都有直达车。酒店拥有40余间客房，舒适家庭套房、宽敞商务超大双床房、商务标准双床房、极简双人大床房、个性双人大床房等多种房型，装修简约、时尚、环保舒适，超值，简约不简单！由小家大爱酒店管理公司管理， 我们秉承简约而不简单的理念，追求超值，安全，环保，自助，平等的居住生活环境。我们不是经济型快捷酒店，我们是一家有家文化的人文酒店，酒店还配有阅读空间，自助厨房，自助洗衣房，晾衣区等生活配套设施。是您旅行生活、交友、休闲渡假、商务出差、探亲购物理想住宿之家！,https://hotel.elong.com/hotel/hoteldetail?hotelId=90704192&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1401%7C%2a%7CqId%3A98f5b9cf-57ea-40f0-89fa-0fc77ce13320%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1401%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A90704192%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
