agegroup,A5,A6,A7,A8,A9,A11B,A12,A14,E1,D7,D4,D5,D6,trueage,Cluster
7,2,5,3,19,3,1,0,0,0,0,0,0,0,48.96098563,0
7,2,7,3,16,4,1,0,0,0,0,0,0,0,49.34702259,0
7,2,5,3,17,3,1,0,0,0,0,0,0,0,48.74469541,0
7,1,5,3,15,2,2,0,0,0,0,0,0,0,49.17453799,2
7,1,5,3,15,3,2,0,0,0,0,0,0,0,48.81040383,2
7,1,6,3,15,3,2,0,0,0,0,0,1,0,49.43737166,2
7,1,4,3,17,3,2,0,0,0,0,0,0,0,49.18548939,0
7,2,5,3,4,3,2,0,0,0,0,0,0,0,49.33059548,0
7,2,5,3,17,3,1,0,0,0,0,0,0,0,48.56399726,0
7,2,7,3,15,3,1,0,0,1,0,0,1,0,49.05407255,0
7,1,4,3,17,3,1,0,0,0,0,0,1,0,49.13347023,0
7,2,5,3,15,3,1,0,0,0,0,0,1,0,49.07049966,2
7,1,4,1,0,0,3,0,0,1,0,0,0,0,48.94182067,1
7,1,4,1,0,0,3,0,0,1,0,0,0,0,48.94182067,1
7,1,4,1,0,0,1,0,0,0,0,0,0,0,48.79945243,1
7,1,4,1,0,0,1,0,0,0,0,0,0,0,48.79945243,1
7,1,4,1,0,0,2,0,0,0,0,0,0,0,48.62149213,1
7,1,5,3,1,2,1,0,0,0,0,0,0,0,48.80492813,2
7,2,4,3,15,2,1,0,0,0,0,1,1,0,48.73374401,2
7,2,5,3,17,3,1,0,0,1,0,1,0,0,48.76386037,0
7,1,4,1,0,0,2,0,0,1,0,0,0,0,49.24298426,1
7,2,6,3,4,4,1,0,0,0,0,0,1,0,49.29774127,0
7,1,4,3,19,2,1,0,0,0,0,0,0,0,49.48117728,1
7,1,5,1,0,0,2,0,0,0,0,0,0,0,48.80219028,1
7,1,5,1,0,0,2,0,0,0,0,0,0,0,48.80219028,1
7,2,4,1,0,0,1,0,0,0,0,0,0,0,48.59411362,1
7,2,5,3,15,2,1,0,0,0,0,0,1,0,48.5338809,2
7,2,6,3,17,2,1,0,0,0,0,0,0,0,48.68172485,0
7,2,6,3,15,3,1,0,0,0,0,0,0,0,49.0568104,0
7,1,5,2,0,0,1,0,0,0,0,0,0,0,49.09514031,1
7,2,4,3,17,2,1,0,0,0,0,0,1,0,48.6899384,0
7,2,4,3,17,3,1,0,0,0,0,0,0,0,49.3798768,0
7,1,5,3,19,2,1,0,0,0,1,0,0,0,49.24572211,2
7,2,6,3,19,3,1,0,0,0,0,0,0,0,48.72826831,0
7,2,7,3,1,4,1,0,0,0,0,0,1,0,48.80492813,3
7,2,5,3,17,2,1,0,0,0,0,0,0,0,48.89801506,0
7,1,4,3,5,3,2,0,0,0,0,0,0,0,49.11978097,0
7,1,4,3,5,3,2,0,0,0,0,0,0,0,49.11978097,0
7,2,5,3,15,3,1,0,0,1,0,0,0,0,49.12251882,0
7,2,6,3,19,3,1,0,0,0,0,0,0,0,49.14168378,0
7,1,5,3,15,2,1,0,0,0,0,0,1,0,48.64613279,2
7,1,5,3,1,2,1,0,0,0,0,0,0,0,48.73374401,2
7,1,5,1,0,0,2,0,0,0,0,0,1,0,48.83230664,1
7,1,4,1,0,0,2,0,0,0,0,0,0,0,48.73921971,1
7,1,4,1,0,0,2,0,0,0,0,0,0,0,49.11978097,1
7,2,7,3,1,3,1,0,0,0,0,0,0,0,48.97193703,0
7,2,6,3,17,4,1,0,0,0,0,0,0,0,49.01574264,0
7,2,6,3,17,3,1,0,0,0,0,0,1,0,48.75564682,0
7,1,4,1,0,0,1,0,0,1,0,0,0,0,49.2019165,1
7,2,6,3,17,3,1,0,0,0,0,0,0,0,49.47022587,0
7,1,5,3,15,2,1,0,0,0,0,0,0,0,49.3798768,2
7,2,4,1,0,0,1,0,0,0,0,0,0,0,49.12251882,1
7,2,4,1,0,0,1,0,0,0,0,0,0,0,49.12251882,1
7,1,5,1,0,0,2,0,0,0,0,0,0,0,49.28131417,1
7,2,6,3,17,3,1,0,0,0,0,0,0,0,48.95550992,0
7,1,4,1,0,0,1,0,0,0,0,0,1,0,48.65708419,1
7,2,6,3,1,3,1,0,0,0,0,0,0,0,49.34702259,0
7,2,7,3,17,5,1,0,0,0,0,0,1,0,49.37166324,3
7,1,6,3,15,2,1,0,0,0,0,0,1,0,49.14715948,2
7,2,6,3,17,3,1,0,0,0,0,1,1,0,48.79397673,0
7,2,4,3,8,2,2,0,0,0,0,0,0,0,48.88706366,0
7,1,7,3,1,3,1,0,0,0,0,0,0,0,48.79671458,0
7,2,6,3,5,4,1,0,0,0,0,0,1,0,49.0513347,0
7,1,6,3,1,3,1,0,0,0,1,0,0,0,48.68172485,0
7,2,4,3,17,2,1,0,0,0,0,0,0,0,48.75564682,0
7,1,4,1,0,0,1,0,0,0,0,0,1,0,49.47843943,1
7,1,4,3,15,3,1,0,0,0,0,0,0,0,49.00479124,0
7,1,6,3,19,3,2,0,0,0,0,0,0,0,48.99110198,0
7,2,6,3,1,3,1,0,0,0,0,0,0,0,49.32238193,0
7,2,7,3,17,3,1,0,0,0,0,0,1,0,49.30595483,0
7,2,8,3,17,4,1,0,0,1,1,0,0,0,48.92539357,0
7,2,6,3,15,3,1,0,0,0,0,0,0,0,48.7008898,0
7,1,5,3,3,3,1,0,0,0,0,0,1,0,48.59958932,2
7,2,7,3,5,6,1,0,0,0,1,0,0,0,49.03216975,0
7,1,6,3,15,4,1,0,0,0,0,0,0,0,48.97193703,0
7,1,4,3,1,3,2,0,0,0,1,0,1,0,49.45927447,2
7,2,5,3,6,4,1,0,0,0,0,0,0,0,49.43189596,0
7,2,6,3,17,3,1,0,0,0,0,0,0,0,48.84599589,0
7,1,4,3,1,1,1,0,0,0,1,1,1,1,48.97467488,2
7,2,7,3,3,4,1,0,0,0,0,0,0,0,48.7063655,0
7,1,6,3,17,3,1,0,0,0,0,1,1,1,48.5338809,0
7,1,4,3,1,1,1,0,0,0,1,1,1,1,48.97467488,2
7,2,6,3,15,5,1,0,0,0,0,0,0,0,48.63518138,0
7,2,6,3,6,3,1,0,0,0,0,0,1,0,48.99110198,0
7,2,6,3,15,2,1,0,0,0,0,0,0,0,48.75838467,0
7,1,6,3,1,4,1,0,0,0,0,0,0,0,48.8843258,0
7,2,5,3,17,3,1,0,0,0,0,0,0,0,48.68720055,0
7,2,4,3,8,2,2,0,0,0,0,0,1,0,49.11156742,3
7,2,6,3,17,3,1,0,0,0,0,0,1,1,49.34976044,0
7,1,5,1,0,0,1,0,0,0,0,0,1,0,49.10882957,1
7,2,4,3,15,3,2,0,0,0,0,0,0,0,48.8843258,0
7,2,4,3,15,3,1,0,0,0,0,0,0,0,48.54757016,0
7,2,6,3,15,3,1,0,0,0,0,0,0,0,48.79945243,0
7,1,4,3,15,3,2,0,0,0,0,0,0,0,49.43737166,0
7,2,4,3,15,2,1,0,0,0,0,0,1,0,49.02669405,2
7,2,6,3,17,3,1,0,0,0,0,0,0,0,49.0513347,0
7,1,4,3,15,3,1,0,0,0,0,0,0,0,49.46475017,0
7,1,7,3,19,3,2,0,0,0,0,0,0,0,49.30595483,0
7,2,6,3,3,3,1,0,0,0,0,0,0,0,48.94729637,0
7,1,6,3,19,3,1,0,0,0,0,0,0,0,48.95550992,0
7,1,5,3,1,3,1,0,0,0,0,0,0,0,48.98836413,0
7,2,5,3,18,3,1,0,0,0,0,0,0,0,49.07871321,0
7,2,7,3,13,6,1,0,0,0,0,0,0,0,48.56673511,0
7,2,7,3,15,4,1,0,0,0,0,0,1,0,49.17727584,3
7,2,6,3,15,3,2,0,0,0,0,1,0,1,48.5284052,0
7,2,7,3,13,3,1,0,0,0,0,0,0,0,49.0513347,0
7,2,5,3,1,2,1,0,0,0,1,0,0,0,48.58316222,0
7,2,5,3,15,3,2,0,0,0,0,0,0,0,48.72279261,0
7,1,4,4,15,3,1,0,0,0,0,0,0,0,49.29774127,1
7,2,6,3,19,4,1,0,0,0,0,0,0,0,48.64613279,0
7,2,6,3,19,3,1,0,0,0,0,0,1,0,49.06502396,0
7,2,4,3,15,3,1,0,0,0,0,0,1,0,49.11430527,0
7,1,6,3,1,2,1,0,0,0,0,0,0,0,49.45106092,0
7,1,4,2,0,0,1,0,0,0,0,0,0,0,48.678987,1
7,1,5,1,0,0,2,0,0,0,0,0,1,0,48.68172485,1
7,2,6,3,15,4,1,0,0,0,1,0,1,0,48.62149213,0
7,2,5,1,0,0,1,0,0,1,0,0,0,0,48.58316222,1
7,2,5,3,15,2,1,0,0,0,0,0,0,0,48.69815195,2
7,1,4,1,0,0,1,0,0,0,0,0,1,0,48.65708419,1
7,2,7,3,17,7,1,0,0,0,0,0,1,0,49.34976044,3
7,1,5,1,0,0,1,0,0,0,1,1,0,0,48.65708419,1
7,2,6,3,17,5,1,0,0,0,0,0,0,0,48.66529774,0
7,2,5,3,19,3,1,0,0,0,1,0,1,0,48.73100616,0
7,2,4,3,19,3,2,0,0,0,0,0,0,0,49.25119781,0
7,1,4,4,17,3,1,0,0,0,1,0,0,0,48.55852156,0
7,2,4,3,19,3,1,0,0,0,0,0,1,0,48.92265572,0
7,1,4,3,15,2,1,0,0,0,0,0,0,0,49.34428474,2
7,1,4,1,0,0,1,0,0,0,0,0,0,0,48.94182067,1
7,2,7,4,13,4,1,0,0,0,0,0,1,0,48.68172485,3
7,2,5,3,17,2,1,0,0,0,0,0,0,0,49.46201232,0
7,2,5,3,6,3,1,0,0,0,0,0,0,0,49.17727584,0
7,2,6,3,15,3,1,0,0,0,0,0,0,0,48.98015058,0
7,2,5,3,14,3,1,0,0,0,0,0,1,1,49.13620808,0
7,2,6,3,19,3,1,0,0,0,0,0,1,0,48.80766598,0
7,1,4,3,6,4,1,0,0,0,0,0,0,0,48.63518138,1
7,2,7,3,17,4,1,0,0,0,1,0,1,0,48.58042437,3
7,2,5,3,17,3,1,0,0,0,1,0,0,1,49.44284736,0
7,1,4,3,1,3,1,0,0,0,0,0,1,0,48.72279261,2
7,1,5,3,7,4,1,0,0,0,0,0,0,0,49.2019165,2
7,1,4,2,0,0,1,0,0,0,0,0,0,0,49.18548939,1
7,2,4,1,0,0,1,0,0,0,0,0,1,0,49.14715948,1
7,1,4,1,0,0,1,0,0,1,0,0,0,0,49.0403833,1
7,2,4,1,0,0,1,0,0,0,0,0,0,0,48.92265572,1
